config,ceiling,run_number,outcome,approved,turn_count,planner_runs,retry_count,last_node,wall_latency_ms,model_latency_ms,input_tokens,output_tokens,issues,planner_proposal,error_type,error_message
schema_30,6,1,valid_first_attempt,True,3,1,0,reviewer,41655.04,41647.64,513,720,[],"{""thought"": ""The study focuses on DBS's impact on motor symptoms through neural recordings. Key areas include Parkinson's, tremors, and dystonia."", ""message"": ""Analyzing DBS's role in Parkinson's via neural signals. Study tracks motor responses in tremor and dystonia patients."", ""data"": {""tags"": [""Deep Brain Stimulation"", ""Parkinson's Disease"", ""Neurophysiology""], ""summary"": ""Study records neural signals from DBS electrodes to assess motor symptom responses in Parkinson's, tremor, and dystonia patients."", ""issues"": []}}",,
schema_30,6,2,valid_first_attempt,True,3,1,0,reviewer,41410.86,41404.24,494,776,[],"{""thought"": ""The study focuses on DBS's role in Parkinson's treatment through neural signal analysis."", ""message"": ""The research explores how DBS electrodes capture neural data to assess motor symptom improvements in movement disorders."", ""data"": {""tags"": [""Deep Brain Stimulation"", ""Parkinson's Disease"", ""Neuroscience""], ""summary"": ""Study examines DBS electrode recordings in Parkinson's, essential tremor, and dystonia patients to assess motor symptom responses."", ""issues"": []}}",,
schema_30,6,3,valid_first_attempt,True,3,1,0,reviewer,57959.35,57951.72,491,1072,[],"{""thought"": ""The study focuses on DBS's role in managing movement disorders through neurophysiological data collection."", ""message"": ""The content explores DBS's impact on motor symptoms via local field potentials in neurological conditions."", ""data"": {""tags"": [""Deep Brain Stimulation"", ""Parkinson's Disease"", ""Neurophysiology""], ""summary"": ""Study records local field potentials from DBS electrodes in Parkinson's patients to assess motor symptom response."", ""issues"": []}}",,
schema_30,6,4,valid_first_attempt,True,3,1,0,reviewer,56408.54,56401.87,494,1021,[],"{""thought"": ""The study focuses on DBS's impact on motor symptoms through neural recordings in movement disorders."", ""message"": ""Analyzing DBS's role in managing Parkinson's and related conditions via neural signal monitoring."", ""data"": {""tags"": [""Deep Brain Stimulation"", ""Parkinson's Disease"", ""Neural Recording""], ""summary"": ""Study evaluates DBS's effect on motor symptoms in Parkinson's, essential tremor, and dystonia using neural recordings."", ""issues"": []}}",,
schema_30,6,5,valid_first_attempt,True,3,1,0,reviewer,89861.2,89851.22,506,1574,[],"{""thought"": ""The study focuses on DBS's impact on motor symptoms through local field potentials in specific neurological conditions."", ""message"": ""Analyzes DBS's role in managing Parkinson's and related disorders via electrode recordings. Evaluates motor symptom responses in targeted patient groups."", ""data"": {""tags"": [""Deep Brain Stimulation"", ""Local Field Potentials"", ""Neurological Disorders""], ""summary"": ""Observational study assesses motor symptom response in Parkinson's, essential tremor, and dystonia using DBS electrodes."", ""issues"": []}}",,
schema_30,6,6,valid_first_attempt,True,3,1,0,reviewer,65592.64,65579.71,503,1179,[],"{""thought"": ""The study focuses on DBS's role in managing motor symptoms via neural recordings, targeting specific neurological conditions."", ""message"": ""The study explores DBS's impact on motor symptoms in Parkinson's patients through neural recordings, offering insights into treatment efficacy and neural activity patterns."", ""data"": {""tags"": [""Deep Brain Stimulation"", ""Parkinson's Disease"", ""Neural Recording""], ""summary"": ""Observational study evaluates motor symptom response in Parkinson's patients using DBS electrodes and local field potentials."", ""issues"": []}}",,
schema_30,6,7,valid_first_attempt,True,3,1,0,reviewer,42985.2,42979.34,496,798,[],"{""thought"": ""Identified key topics from the study's focus on DBS, observational methods, and motor symptom evaluation."", ""message"": ""The study uses DBS electrodes to analyze motor symptoms in movement disorders. Tags reflect methodology and conditions."", ""data"": {""tags"": [""Deep Brain Stimulation"", ""Observational Study"", ""Motor Symptoms""], ""summary"": ""Study examines DBS electrode recordings to assess motor symptom response in Parkinson's, tremor, and dystonia patients."", ""issues"": []}}",,
schema_30,6,8,valid_first_attempt,True,3,1,0,reviewer,85539.82,85532.47,504,1624,[],"{""thought"": ""Focusing on DBS applications in movement disorders through neurophysiological data analysis."", ""message"": ""Analyzing DBS electrode data to evaluate motor symptom responses in movement disorders. Focus on Parkinson's, essential tremor, and dystonia patients."", ""data"": {""tags"": [""Deep Brain Stimulation"", ""Parkinson's Disease"", ""Local Field Potentials""], ""summary"": ""Study examines DBS electrode recordings in Parkinson's, essential tremor, and dystonia patients to assess motor symptom responses."", ""issues"": []}}",,
schema_30,6,9,valid_first_attempt,True,3,1,0,reviewer,54802.57,54796.59,525,1018,[],"{""thought"": ""The study focuses on DBS's role in Parkinson's treatment through neural signal analysis. Key elements include patient conditions, electrode data collection, and symptom evaluation."", ""message"": ""This study examines motor symptom responses in Parkinson's and related disorders using DBS electrodes to record local field potentials, offering insights into neural activity during stimulation."", ""data"": {""tags"": [""Deep Brain Stimulation"", ""Parkinson's Disease"", ""Local Field Potentials""], ""summary"": ""Observational study records local field potentials from DBS electrodes in Parkinson's, essential tremor, and dystonia patients to assess motor symptom response."", ""issues"": []}}",,
schema_30,6,10,valid_first_attempt,True,3,1,0,reviewer,59160.45,59151.38,506,1105,[],"{""thought"": ""The study focuses on DBS's role in managing motor symptoms for movement disorders. Key elements include local field potentials and patient conditions."", ""message"": ""Tags highlight DBS, Parkinson's, and motor symptoms. Summary captures study purpose and conditions. No issues detected."", ""data"": {""tags"": [""Deep Brain Stimulation"", ""Parkinson's Disease"", ""Motor Symptoms""], ""summary"": ""Observational study evaluates DBS's impact on motor symptoms in Parkinson's, essential tremor, and dystonia patients."", ""issues"": []}}",,
